|                              Parameters |                       0 |                       1 |   2 |                      3 |   4 |                      5 |                      6 |                     7 |                      8 |   9 |                   10 |  11 |  12 |  13 |  14 |
|                 1bpdX3kR.spectral.index |    0.016658859479926597 | -2.1576838989926122e-13 | 0.0 | -0.0038910473017565216 | 0.0 |  4.491130508854611e-06 | -1.135605005196723e-06 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             1bpdX3kR.spectral.amplitude | -2.1576838989926122e-13 |    6.79389704380373e-24 | 0.0 |  8.739623165415185e-14 | 0.0 | -6.098348995049691e-17 | 1.6518540482173284e-17 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|             1bpdX3kR.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|               1bpdX3kR.spectral.lambda_ |  -0.0038910473017565216 |   8.739623165415185e-14 | 0.0 |    0.00158722490820974 | 0.0 | -5.452322280248258e-07 | 1.5064224738624266e-07 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                 1bpdX3kR.spectral.alpha |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                  1bpdX3kR.spatial.lon_0 |   4.491130508854611e-06 |  -6.098348995049691e-17 | 0.0 | -5.452322280248258e-07 | 0.0 |  5.211664219715314e-06 | -9.557837602781901e-10 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|                  1bpdX3kR.spatial.lat_0 |  -1.135605005196723e-06 |  1.6518540482173284e-17 | 0.0 | 1.5064224738624266e-07 | 0.0 | -9.557837602781901e-10 |  3.905533835557281e-06 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset-fit-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0001153599573921327 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset-fit-bkg.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 | 0.00013420532909485776 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      dataset-fit-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|       dataset-fit-irf.e_reco_model.bias |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.002228886366314887 | 0.0 | 0.0 | 0.0 | 0.0 |
| dataset-fit-irf.e_reco_model.resolution |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset-fit-irf.spectral.norm |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|           dataset-fit-irf.spectral.tilt |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
|      dataset-fit-irf.spectral.reference |                     0.0 |                     0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 |                  0.0 | 0.0 | 0.0 | 0.0 | 0.0 |
