<<<<<<< HEAD
|                      Parameters |                       0 |                       1 |   2 |                       3 |                       4 |                      5 |   6 |   7 |                       8 |   9 |  10 |                      11 |                      12 |  13 |
|           Source.spectral.index |   0.0042464435505843315 |   5.446409828230807e-15 | 0.0 |  -4.014658644872943e-15 |   0.0008784586958620151 |  4.499259301605204e-05 | 0.0 | 0.0 | -3.3029212446937053e-06 | 0.0 | 0.0 |  -7.892591091844431e-06 |   -8.07853154545005e-06 | 0.0 |
|       Source.spectral.amplitude |   5.446409828230807e-15 |   1.423850039951183e-26 | 0.0 | -1.6662131717500305e-26 |   4.064980050483421e-15 | 1.8804780903530276e-16 | 0.0 | 0.0 |  1.5193137126440452e-17 | 0.0 | 0.0 |  -1.728626577569617e-17 |  -8.787588188572863e-18 | 0.0 |
|       Source.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      Source.spectral.amplitude_ |  -4.014658644872943e-15 | -1.6662131717500305e-26 | 0.0 |   2.824759512874772e-25 | -1.5196460367967572e-13 |  -5.25603502461661e-15 | 0.0 | 0.0 |  2.9280325351615256e-17 | 0.0 | 0.0 |  3.6842163919062224e-18 |   6.881529721265936e-18 | 0.0 |
|            Source.spectral.mean |   0.0008784586958620151 |   4.064980050483421e-15 | 0.0 | -1.5196460367967572e-13 |     0.12228085869501443 |  0.0025260740868335153 | 0.0 | 0.0 |  -9.000381024460193e-06 | 0.0 | 0.0 |  -4.603290905345266e-07 | -1.4969858983931234e-06 | 0.0 |
|           Source.spectral.sigma |   4.499259301605204e-05 |  1.8804780903530276e-16 | 0.0 |   -5.25603502461661e-15 |   0.0025260740868335153 | 0.00010670458259721292 | 0.0 | 0.0 |  -3.282464781179726e-07 | 0.0 | 0.0 |  -4.453692755216865e-08 |  -7.654801780130718e-08 | 0.0 |
|            Source.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Source.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|            Source.spatial.sigma | -3.3029212446937053e-06 |  1.5193137126440452e-17 | 0.0 |  2.9280325351615256e-17 |  -9.000381024460193e-06 | -3.282464781179726e-07 | 0.0 | 0.0 |   6.133999269973539e-05 | 0.0 | 0.0 | -5.6722039007846495e-08 |   2.563723557264532e-08 | 0.0 |
|                Source.spatial.e |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|              Source.spatial.phi |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
|      EbBdHKia-bkg.spectral.norm |  -7.892591091844431e-06 |  -1.728626577569617e-17 | 0.0 |  3.6842163919062224e-18 |  -4.603290905345266e-07 | -4.453692755216865e-08 | 0.0 | 0.0 | -5.6722039007846495e-08 | 0.0 | 0.0 |    4.27056941747563e-06 |  2.3758856465333146e-06 | 0.0 |
|      EbBdHKia-bkg.spectral.tilt |   -8.07853154545005e-06 |  -8.787588188572863e-18 | 0.0 |   6.881529721265936e-18 | -1.4969858983931234e-06 | -7.654801780130718e-08 | 0.0 | 0.0 |   2.563723557264532e-08 | 0.0 | 0.0 |  2.3758856465333146e-06 |   3.847744372296119e-06 | 0.0 |
| EbBdHKia-bkg.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
=======
|                            Parameters |                       0 |                       1 |   2 |                       3 |                       4 |                       5 |   6 |   7 |                       8 |   9 |  10 |                      11 |                      12 |  13 |  14 |                      15 |  16 |  17 |  18 |
|                 Source.spectral.index |   0.0016576611250687366 |  1.3850043996634838e-15 | 0.0 |   7.678181973579281e-16 |   0.0033970980013194553 |  1.2514040821196872e-05 | 0.0 | 0.0 | -3.3876128535837725e-06 | 0.0 | 0.0 |  -8.688698254153444e-07 |  -2.625521107096203e-06 | 0.0 | 0.0 | -0.00010110456379667806 | 0.0 | 0.0 | 0.0 |
|             Source.spectral.amplitude |  1.3850043996634838e-15 |   3.661239079112998e-26 | 0.0 |  1.0330846838243815e-25 |  4.5338640227465494e-13 |  1.6759923860740653e-15 | 0.0 | 0.0 |  -1.113980704672969e-16 | 0.0 | 0.0 | -2.7710822183961775e-17 | -1.3551572785508233e-16 | 0.0 | 0.0 | -1.4633347860314904e-14 | 0.0 | 0.0 | 0.0 |
|             Source.spectral.reference |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|            Source.spectral.amplitude_ |   7.678181973579281e-16 |  1.0330846838243815e-25 | 0.0 |   3.496979501807885e-25 |  1.4791789352464253e-12 |   5.443310174125342e-15 | 0.0 | 0.0 | -3.7994341638484097e-16 | 0.0 | 0.0 |  -7.374125468748828e-17 |  -4.225072366911398e-16 | 0.0 | 0.0 |  -4.554488700385955e-14 | 0.0 | 0.0 | 0.0 |
|                  Source.spectral.mean |   0.0033970980013194553 |  4.5338640227465494e-13 | 0.0 |  1.4791789352464253e-12 |       6.403643824410417 |    0.024012677259590436 | 0.0 | 0.0 |  -0.0016699464989653444 | 0.0 | 0.0 | -0.00032466801968917826 |  -0.0018570693073924531 | 0.0 | 0.0 |     -0.2001996732714402 | 0.0 | 0.0 | 0.0 |
|                 Source.spectral.sigma |  1.2514040821196872e-05 |  1.6759923860740653e-15 | 0.0 |   5.443310174125342e-15 |    0.024012677259590436 |    9.49143959789785e-05 | 0.0 | 0.0 | -6.1612971540248065e-06 | 0.0 | 0.0 | -1.1963903604228235e-06 | -6.8527738087564094e-06 | 0.0 | 0.0 |  -0.0007387139500039306 | 0.0 | 0.0 | 0.0 |
|                  Source.spatial.lon_0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|                  Source.spatial.lat_0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|                  Source.spatial.sigma | -3.3876128535837725e-06 |  -1.113980704672969e-16 | 0.0 | -3.7994341638484097e-16 |  -0.0016699464989653444 | -6.1612971540248065e-06 | 0.0 | 0.0 |  3.8399170632829666e-05 | 0.0 | 0.0 |   6.841006707308606e-08 |   5.014664300850033e-07 | 0.0 | 0.0 |   5.270458404225465e-05 | 0.0 | 0.0 | 0.0 |
|                      Source.spatial.e |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|                    Source.spatial.phi |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |
|           dataset N-bkg.spectral.norm |  -8.688698254153444e-07 | -2.7710822183961775e-17 | 0.0 |  -7.374125468748828e-17 | -0.00032466801968917826 | -1.1963903604228235e-06 | 0.0 | 0.0 |   6.841006707308606e-08 | 0.0 | 0.0 |  2.1751602881403846e-06 |   9.198114490265268e-07 | 0.0 | 0.0 |   1.554166717790562e-05 | 0.0 | 0.0 | 0.0 |
